study,Study Design,Sampling Method,Data Collection,Analysis Methods,Overall
"Ayogyam et al., 2014",Moderate,High,High,High,High
"Bassem, 2008",Moderate,High,Moderate,High,High
"Borena and Waktola, 2019",High,Moderate,High,High,High
"Cassar and Wydick, 2010",Low,Low,Low,Low,Low
"Hermes et al., 2005",Moderate,Moderate,Moderate,Low,Moderate
"Jumpah et al., 2018",Moderate,Moderate,Moderate,Moderate,Moderate
"Kono, 2006",Low,Moderate,Moderate,Moderate,Moderate
"Muchnick and Kollamparambil, 2015",Moderate,Low,Moderate,Low,Moderate
"Musah et al., 2014",Moderate,Moderate,Moderate,Moderate,Moderate
"Postlenicu et al., 2019",Moderate,Low,Low,Moderate,Moderate
"Razzaque, 2018",Low,Moderate,Low,Moderate,Moderate
"Shahriar et al., 2020",Moderate,Moderate,Moderate,Moderate,Moderate
"Singh and Padhi, 2017",Moderate,Low,Moderate,Moderate,Moderate
"van Den Berg et al., 2015",Moderate,Moderate,Low,Moderate,Moderate